########################################
	Base Model Results
########################################

##### ADD_FUNCTION_AROUND_EXPRESSION #####
average_levenshtein_distance = 229.32
average_levenshtein_ratio = 0.89
average_em_score = 0.00
average_bleu_score = 0.86
average_ast_match = 0.02
average_codebleu_score = 0.76
average_codebleu_ngram_match_score = 0.71
average_codebleu_weighted_ngram_match_score = 0.84
average_codebleu_syntax_match_score = 0.80
average_codebleu_dataflow_match_score = 0.69

##### CHANGE_STRING_LITERAL #####
average_levenshtein_distance = 465.94
average_levenshtein_ratio = 0.86
average_em_score = 0.00
average_bleu_score = 0.80
average_ast_match = 0.00
average_codebleu_score = 0.77
average_codebleu_ngram_match_score = 0.68
average_codebleu_weighted_ngram_match_score = 0.80
average_codebleu_syntax_match_score = 0.84
average_codebleu_dataflow_match_score = 0.72

##### WRONG_FUNCTION_NAME #####
average_levenshtein_distance = 561.94
average_levenshtein_ratio = 0.85
average_em_score = 0.00
average_bleu_score = 0.82
average_ast_match = 0.09
average_codebleu_score = 0.78
average_codebleu_ngram_match_score = 0.68
average_codebleu_weighted_ngram_match_score = 0.78
average_codebleu_syntax_match_score = 0.86
average_codebleu_dataflow_match_score = 0.76

##### CHANGE_IDENTIFIER_USED #####
average_levenshtein_distance = 401.75
average_levenshtein_ratio = 0.88
average_em_score = 0.04
average_bleu_score = 0.85
average_ast_match = 0.17
average_codebleu_score = 0.81
average_codebleu_ngram_match_score = 0.74
average_codebleu_weighted_ngram_match_score = 0.81
average_codebleu_syntax_match_score = 0.87
average_codebleu_dataflow_match_score = 0.75

##### CHANGE_ATTRIBUTE_USED #####
average_levenshtein_distance = 340.40
average_levenshtein_ratio = 0.88
average_em_score = 0.02
average_bleu_score = 0.84
average_ast_match = 0.06
average_codebleu_score = 0.81
average_codebleu_ngram_match_score = 0.71
average_codebleu_weighted_ngram_match_score = 0.82
average_codebleu_syntax_match_score = 0.90
average_codebleu_dataflow_match_score = 0.80

##### MORE_SPECIFIC_IF #####
average_levenshtein_distance = 317.31
average_levenshtein_ratio = 0.88
average_em_score = 0.00
average_bleu_score = 0.85
average_ast_match = 0.02
average_codebleu_score = 0.79
average_codebleu_ngram_match_score = 0.74
average_codebleu_weighted_ngram_match_score = 0.80
average_codebleu_syntax_match_score = 0.85
average_codebleu_dataflow_match_score = 0.73

##### CHANGE_BINARY_OPERAND #####
average_levenshtein_distance = 511.87
average_levenshtein_ratio = 0.84
average_em_score = 0.00
average_bleu_score = 0.78
average_ast_match = 0.02
average_codebleu_score = 0.73
average_codebleu_ngram_match_score = 0.65
average_codebleu_weighted_ngram_match_score = 0.75
average_codebleu_syntax_match_score = 0.77
average_codebleu_dataflow_match_score = 0.71

##### LESS_SPECIFIC_IF #####
average_levenshtein_distance = 527.61
average_levenshtein_ratio = 0.89
average_em_score = 0.00
average_bleu_score = 0.84
average_ast_match = 0.00
average_codebleu_score = 0.79
average_codebleu_ngram_match_score = 0.75
average_codebleu_weighted_ngram_match_score = 0.80
average_codebleu_syntax_match_score = 0.86
average_codebleu_dataflow_match_score = 0.71

##### CHANGE_NUMERIC_LITERAL #####
average_levenshtein_distance = 411.27
average_levenshtein_ratio = 0.86
average_em_score = 0.02
